,Year of Observation,Insurance Period,Residential,Building Painted,Building Fenced,Garden,Settlement,Building Dimension,Building Type,Date Of Occupancy,Number of Windows,Geo Code,Claim
9708,2014,0 - 5 Months,0,Painted,Not Fenced,Has Garden,Urban area,200,2,1960,4,83126,0
9709,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,4297,2,1980,5,83126,0
9710,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,465,2,1980,4,83126,0
9711,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,4300,2,1964,5,83126,0
9712,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,764,2,1980,4,83129,0
9713,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,764,2,1980,4,83129,0
9714,2015,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,650,2,1980,4,83129,0
9715,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,8552,2,1980,4,83129,0
9716,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,3503,2,1980,4,83129,0
9717,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,3450,2,1980,4,83129,0
9718,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,170,2,1960,4,83130,0
9719,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,882,2,1950,5,83137,0
9720,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,630,3,1960,4,83137,0
9721,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,4400,3,1960,7,83137,0
9722,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,130,2,1960,4,83137,0
9723,2013,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,800,3,1960,4,83137,0
9724,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,150,3,1980,4,83137,0
9725,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,650,2,1960,4,83137,0
9726,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,400,3,1980,4,83137,0
9727,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2000,3,1980,4,83137,0
9728,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,750,3,1965,2,83137,0
9729,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1770,3,1980,4,83137,0
9730,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1170,3,1980,4,83137,0
9731,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,560,3,1960,4,83137,0
9732,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,2455,3,1980,4,83137,0
9733,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,700,2,1900,3,83137,0
9734,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1049,3,1980,4,83137,0
9735,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,160,2,1980,4,83137,0
9736,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,400,3,1960,4,83137,0
9737,2013,0 - 5 Months,1,Painted,Not Fenced,Has Garden,Urban area,400,3,1960,4,83137,0
9738,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,693,3,1960,4,83137,0
9739,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,693,3,1960,4,83137,0
9740,2012,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,734,3,1960,4,83137,0
9741,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,710,3,1960,4,83137,0
9742,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,450,3,1960,4,83137,0
9743,2013,0 - 5 Months,1,Painted,Not Fenced,Has Garden,Urban area,450,3,1960,4,83137,0
9744,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,638,3,1960,4,83137,0
9745,2013,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,638,3,1960,4,83137,0
9746,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,564,3,1960,4,83137,0
9747,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,300,3,1960,4,83137,0
9748,2016,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,300,3,1960,4,83137,0
9749,2012,0 - 5 Months,1,Painted,Not Fenced,Has Garden,Urban area,60,3,1960,4,83137,0
9750,2014,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,1300,3,1960,4,83137,0
9751,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,585,3,1960,4,83137,0
9752,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,420,3,1960,4,83137,0
9753,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,688,3,1970,4,83137,0
9754,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,910,2,1960,4,83137,0
9755,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,340,2,1960,4,83144,0
9756,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,662,2,1988,4,83144,0
9757,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,230,2,1960,4,83144,0
9758,2013,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,960,2,1980,4,83144,0
9759,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,6290,2,1980,4,83144,0
9760,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1800,2,1980,4,83144,0
9761,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1800,2,1980,4,83144,0
9762,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,900,2,1950,3,83154,0
9763,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,900,2,1950,3,83154,0
9764,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,800,2,1980,4,83920,0
9765,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,450,2,1980,4,83920,0
9766,2015,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,4022,2,1960,4,83923,0
9767,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,40,2,1960,4,83923,0
9768,2015,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,400,2,1980,4,83924,0
9769,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2430,2,1980,4,83925,0
9770,2013,0 - 5 Months,1,Painted,Not Fenced,Has Garden,Urban area,2100,1,1988,4,84007,0
9771,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,2134,1,1950,6,84007,0
9772,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,300,1,1960,4,84019,0
9773,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,750,1,1980,4,84137,0
9774,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,220,1,1980,4,84137,0
9775,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,220,1,1980,4,84137,0
9776,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2127,1,1980,4,84137,0
9777,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1350,1,1980,4,84137,0
9778,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1300,1,1980,4,84137,0
9779,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1300,1,1980,4,84137,0
9780,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,924,1,1988,4,84138,0
9781,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1300,1,1970,3,84138,0
9782,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1750,1,1960,4,84138,0
9783,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,12390,1,1960,4,84138,0
9784,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,12390,1,1960,4,84138,0
9785,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,528,1,1960,4,85194,0
9786,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2613,1,1997,4,86041,0
9787,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,3360,1,1988,4,86066,0
9788,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,980,1,1980,4,86194,0
9789,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2300,1,2005,4,86194,0
9790,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1692,1,1980,4,86194,0
9791,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,6320,1,1980,4,86194,0
9792,2014,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,6320,1,1980,4,86194,0
9793,2013,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,238,1,1980,4,86194,0
9794,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2010,1,1980,4,86194,0
9795,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,688,1,1980,4,86194,0
9796,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,300,1,1980,4,86194,0
9797,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,890,1,1980,4,86194,0
9798,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2250,1,1975,3,86194,0
9799,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,150,1,1980,4,86194,0
9800,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,150,1,1980,4,86194,0
9801,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,221,1,1980,4,86194,0
9802,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,410,1,1980,4,86194,0
9803,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,640,1,1980,4,86194,0
9804,2014,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,511,1,1980,4,86194,0
9805,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,2300,1,1980,4,86194,0
9806,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,650,1,1980,4,86194,0
9807,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,680,1,1980,4,86194,0
9808,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,870,1,1980,4,86194,0
9809,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,280,1,1980,4,86194,0
9810,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,200,1,1980,4,86194,0
9811,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,755,1,1980,4,86194,0
9812,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1950,1,1982,4,86194,0
9813,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,11848,1,1988,4,86194,0
9814,2014,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,11848,1,1988,4,86194,0
9815,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,480,1,1980,4,86194,0
9816,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,3700,1,1980,4,86194,0
9817,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,3700,1,1980,4,86194,0
9818,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1750,1,1988,4,86194,0
9819,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1750,1,1988,4,86194,0
9820,2013,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,316,1,1980,4,86194,0
9821,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,350,1,1980,4,86194,0
9822,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,921,1,1955,4,86194,0
9823,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,975,1,1988,4,86194,0
9824,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,213,1,1980,4,86194,0
9825,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1185,1,1980,4,86194,0
9826,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1185,1,1980,4,86194,0
9827,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,765,1,1980,4,86194,0
9828,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,765,1,1980,4,86194,0
9829,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,269,1,1980,4,86194,0
9830,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2791,1,1980,4,86194,0
9831,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,716,1,1980,4,86194,0
9833,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,430,1,1980,4,86194,0
9834,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,756,1,1960,4,87011,0
9835,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1740,1,1988,4,87085,0
9836,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,530,1,2006,4,87085,0
9837,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,530,1,2006,4,87085,0
9838,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,500,1,1960,4,87085,0
9839,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,500,1,1960,4,87085,0
9840,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,960,1,1930,3,87085,0
9841,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,550,1,1980,4,87085,0
9842,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,700,1,1930,4,87085,0
9843,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,700,1,1930,4,87085,0
9844,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,900,1,1980,4,87085,0
9845,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1731,1,1960,4,87085,0
9846,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1572,1,1960,4,87085,0
9847,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1572,1,1960,4,87085,0
9848,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,440,1,1960,4,88160,0
9849,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,810,1,1988,4,88196,0
9850,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,810,1,1988,4,88196,0
9851,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,560,1,2005,3,88218,0
9852,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,920,1,1900,3,88321,0
9853,2013,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,657,1,1960,4,88321,0
9854,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,835,1,1980,4,88383,0
9855,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,540,2,1960,4,90008,0
9856,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,595,2,1960,4,90008,0
9857,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,790,2,1900,3,90009,0
9858,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,920,2,1960,4,90010,0
9859,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,920,2,1960,4,90010,0
9860,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,770,2,1960,4,90010,0
9861,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1100,2,1980,4,90010,0
9862,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,720,2,1960,4,90010,0
9863,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1070,2,1990,4,90010,0
9864,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1070,2,1990,4,90010,0
9865,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1588,2,1960,4,90010,0
9866,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2475,2,1980,4,90010,0
9867,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1500,2,1960,4,90010,0
9868,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1500,2,1960,4,90010,0
9869,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2188,2,1960,4,90010,0
9870,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,680,2,1980,4,90010,0
9871,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,5566,2,1988,4,90010,0
9872,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1580,2,1960,4,90010,0
9873,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,6600,2,1988,4,90010,0
9874,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,3000,2,1960,4,90010,0
9875,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,3115,2,1988,4,90010,0
9876,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,995,2,1900,5,90010,0
9877,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,650,2,1960,4,90010,0
9878,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,2105,2,1988,4,90010,0
9879,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,5100,2,1988,4,90010,0
9880,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,550,2,1960,4,90010,0
9881,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,474,2,1910,5,90010,0
9882,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,450,2,1960,3,90010,0
9883,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1500,2,1980,4,90010,0
9884,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1670,2,1960,4,90010,0
9885,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,400,2,1960,4,90010,0
9886,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,680,2,1900,4,90010,0
9887,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,660,2,1900,5,90010,0
9888,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,3900,2,1988,4,90032,0
9889,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1700,2,1988,4,90032,0
9890,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1520,2,1988,4,90032,0
9891,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,10821,2,1980,4,90099,0
9892,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,300,2,1960,4,90099,0
9893,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3890,2,1995,4,90099,0
9894,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1780,1,1960,4,91064,0
9895,2015,0 - 5 Months,0,Painted,Not Fenced,Has Garden,Urban area,1780,1,1960,4,91064,0
9896,2013,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1000,1,1980,4,91174,0
9897,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,150,1,1980,4,91174,0
9898,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1300,1,1980,4,91174,0
9899,2016,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,250,1,1960,4,91174,0
9900,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,332,1,1991,3,91223,0
9901,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,332,1,1991,3,91223,0
9902,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,332,1,1991,3,91223,0
9903,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,382,1,1960,4,91223,0
9904,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,382,1,1960,4,91223,0
9905,2012,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,360,1,1960,4,91425,0
9906,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,300,1,2005,3,91570,0
9907,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,300,1,2005,3,91570,0
9908,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,400,1,1960,4,91589,0
9909,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,190,1,1960,4,91600,0
9910,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,850,1,1980,4,91687,0
9911,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,850,1,1980,4,91687,0
9912,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,600,3,1900,5,92002,0
9913,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,561,3,1980,4,92004,0
9914,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,920,3,1988,4,92004,0
9915,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1100,3,1960,4,92004,0
9916,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1250,3,1960,4,92004,0
9917,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,400,3,1920,3,92004,0
9918,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,150,3,1960,4,92004,0
9919,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,220,3,1980,4,92007,0
9920,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,500,3,1960,4,92009,0
9921,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1000,3,1960,4,92009,0
9922,2013,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,2680,3,1980,4,92012,0
9923,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,500,3,1980,4,92012,0
9924,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1,3,1960,4,92019,0
9925,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,356,3,1920,3,92023,0
9926,2012,0 - 5 Months,1,Painted,Not Fenced,Has Garden,Urban area,15,3,1988,4,92025,0
9927,2013,0 - 5 Months,1,Painted,Not Fenced,Has Garden,Urban area,15,3,1988,4,92025,0
9928,2016,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,525,3,1960,4,92025,0
9929,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,135,3,1960,4,92025,0
9930,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,527,3,1960,4,92026,0
9931,2015,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1387,3,1960,4,92026,0
9932,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,406,3,1930,5,92026,0
9933,2014,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,406,3,1930,5,92026,0
9934,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1285,3,1955,7,92035,0
9935,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1253,3,1960,4,92035,0
9936,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1253,3,1960,4,92035,0
9937,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,180,3,1900,2,92036,0
9938,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,180,3,1900,2,92036,0
9939,2014,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,459,3,1960,4,92040,0
9940,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,900,3,1960,4,92046,0
9941,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,600,3,1960,4,92048,0
9942,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,700,3,1960,4,92048,0
9943,2015,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,360,3,1960,4,92048,0
9944,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1800,3,1960,4,92048,0
9945,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1179,3,1960,4,92048,0
9946,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,2900,3,1960,4,92049,0
9947,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,6808,3,1960,4,92049,0
9948,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,800,3,1980,4,92049,0
9949,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,600,3,1960,4,92050,0
9950,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,540,3,1980,4,92051,0
9951,2014,0 - 5 Months,1,Painted,Not Fenced,Has Garden,Urban area,500,3,1960,4,92051,0
9952,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1734,3,1890,7,92051,0
9953,2013,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,6209,3,1960,4,92062,0
9954,2014,0 - 5 Months,1,Painted,Not Fenced,Has Garden,Urban area,1450,3,1960,4,92062,0
9955,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,250,3,1960,4,92062,0
9956,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1330,3,1960,7,92062,0
9957,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,600,3,1960,4,92063,0
